154,WMB,"The Williams Companies, Inc.",68.60B,56.26,-1.12%,10.75B
155,EMR,Emerson Electric Co.,68.34B,120,0.12%,17.55B
156,CDNS,"Cadence Design Systems, Inc.",68.13B,248.56,-2.12%,4.64B
157,GD,General Dynamics Corporation,67.92B,251.62,0.95%,47.72B
158,NOC,Northrop Grumman Corporation,66.58B,459.97,1.12%,41.03B
159,BDX,"Becton, Dickinson and Company",64.36B,224.16,-1.51%,20.64B
160,RCL,Royal Caribbean Cruises Ltd.,64.10B,238.16,-2.44%,16.49B
161,BK,The Bank of New York Mellon Corporation,62.36B,86.89,0.64%,18.55B
162,HLT,Hilton Worldwide Holdings Inc.,62.34B,259.1,-0.33%,4.75B
163,FDX,FedEx Corporation,62.27B,258.54,0.94%,87.39B
164,CSX,CSX Corporation,61.73B,32.01,0.09%,14.54B
165,ROP,"Roper Technologies, Inc.",61.48B,572.5,-0.46%,7.04B
166,ADSK,"Autodesk, Inc.",60.66B,282.35,-1.16%,6.13B
167,TFC,Truist Financial Corporation,59.67B,45.71,0.82%,11.41B
168,AFL,Aflac Incorporated,59.08B,107.43,1.53%,18.93B
169,KMI,"Kinder Morgan, Inc.",58.24B,26.21,0.15%,15.10B
170,AZO,"AutoZone, Inc.",57.81B,"3,444.69",1.52%,18.58B
171,TRV,"The Travelers Companies, Inc.",57.77B,254.79,2.39%,46.42B
172,OKE,"ONEOK, Inc.",57.77B,96.64,0.92%,21.70B
173,MET,"MetLife, Inc.",57.26B,84.05,1.83%,70.98B
174,CHTR,"Charter Communications, Inc.",56.89B,359.04,1.57%,55.09B
175,TGT,Target Corporation,56.13B,122.5,-1.24%,107.57B
176,AEP,"American Electric Power Company, Inc.",55.95B,105.16,-1.62%,19.72B
177,SLB,Schlumberger Limited,55.63B,40.91,0.76%,36.29B
178,JCI,Johnson Controls International plc,55.62B,84.25,-0.78%,23.17B
179,PCAR,PACCAR Inc,55.37B,105.5,-0.50%,33.66B
180,CARR,Carrier Global Corporation,55.36B,64.08,-3.06%,22.49B
181,NXPI,NXP Semiconductors N.V.,55.00B,216.87,-5.45%,12.61B
182,NSC,Norfolk Southern Corporation,54.84B,242.18,0.05%,12.12B
183,HWM,Howmet Aerospace Inc.,54.04B,133.42,1.09%,7.43B
184,DLR,"Digital Realty Trust, Inc.",53.91B,157.27,-1.32%,5.43B
185,PSA,Public Storage,53.78B,305.7,0.46%,4.72B
186,FCX,Freeport-McMoRan Inc.,53.78B,37.42,-1.40%,25.46B
187,PAYX,"Paychex, Inc.",53.56B,148.76,-0.33%,5.37B
188,CPRT,"Copart, Inc.",53.22B,55.23,-1.85%,4.51B
189,PSX,Phillips 66,51.94B,127.41,1.57%,143.15B
190,ALL,The Allstate Corporation,51.70B,195.06,3.52%,64.11B
191,O,Realty Income Corporation,50.58B,56.57,0.84%,5.28B
192,AMP,"Ameriprise Financial, Inc.",50.57B,526.07,0.15%,17.93B
193,MNST,Monster Beverage Corporation,50.49B,51.92,0.52%,7.49B
194,CMI,Cummins Inc.,50.07B,364.16,-0.70%,34.10B
195,GWW,"W.W. Grainger, Inc.",48.74B,"1,010.92",0.28%,17.17B
196,COR,"Cencora, Inc.",48.29B,249.01,-0.65%,303.19B
197,DFS,Discover Financial Services,48.11B,191.2,0.52%,13.00B
198,NEM,Newmont Corporation,47.46B,42.12,-3.35%,18.68B
199,D,"Dominion Energy, Inc.",47.44B,56.48,-1.10%,14.46B
200,GM,General Motors Company,47.39B,47.63,-1.71%,187.44B
201,AIG,"American International Group, Inc.",47.28B,79.69,1.94%,27.03B
202,SRE,Sempra,46.84B,71.9,-1.30%,13.19B
203,MPC,Marathon Petroleum Corporation,46.76B,147.98,1.15%,139.34B
204,KMB,Kimberly-Clark Corporation,46.50B,140.19,0.74%,20.06B
205,NDAQ,"Nasdaq, Inc.",46.47B,80.8,0.95%,7.40B
206,KR,The Kroger Co.,46.26B,63.93,0.20%,149.88B
207,OXY,Occidental Petroleum Corporation,45.66B,48.65,0.21%,26.73B
208,KDP,Keurig Dr Pepper Inc.,45.60B,33.61,-0.39%,15.35B
209,ROST,"Ross Stores, Inc.",45.54B,138.02,-0.55%,21.24B
210,TEL,TE Connectivity plc,45.28B,151.76,-0.63%,15.85B
211,FANG,"Diamondback Energy, Inc.",45.27B,155.59,2.07%,11.02B
212,MSCI,MSCI Inc.,45.14B,581.27,0.32%,2.86B
213,HES,Hess Corporation,45.12B,146.91,0.99%,12.66B
214,FICO,Fair Isaac Corporation,44.84B,"1,836.18",-1.81%,1.78B
215,VST,Vistra Corp.,44.23B,130.01,-12.27%,17.22B
216,KVUE,Kenvue Inc.,44.23B,23.14,-0.34%,15.46B
217,EXC,Exelon Corporation,44.02B,43.79,-0.61%,23.03B
218,LULU,Lululemon Athletica Inc.,43.97B,362.16,-1.06%,10.18B
219,AME,"AMETEK, Inc.",43.21B,187.33,-0.45%,6.94B
220,BKR,Baker Hughes Company,43.15B,43.58,0.16%,27.83B
221,GRMN,Garmin Ltd.,43.11B,224.06,-1.26%,6.30B
222,CTVA,"Corteva, Inc.",43.07B,62.82,0.03%,16.91B
223,YUM,"Yum! Brands, Inc.",42.90B,153.71,1.46%,7.55B
224,TRGP,Targa Resources Corp.,42.65B,195.54,-1.53%,16.38B
225,FAST,Fastenal Company,42.48B,74.09,0.27%,7.55B
226,EW,Edwards Lifesciences Corporation,42.11B,71.4,-0.78%,5.44B
227,GLW,Corning Incorporated,41.97B,49,-2.02%,13.12B
228,CTSH,Cognizant Technology Solutions Corporation,41.54B,83.99,-0.19%,19.74B
229,URI,"United Rentals, Inc.",41.35B,633.17,-1.52%,15.35B
230,CBRE,"CBRE Group, Inc.",41.32B,139.78,-0.64%,35.77B
231,VLO,Valero Energy Corporation,41.04B,129.63,-0.41%,129.88B
232,GEHC,GE HealthCare Technologies Inc.,40.88B,89.4,-1.44%,19.67B
233,VRSK,"Verisk Analytics, Inc.",40.70B,290.11,0.72%,2.88B
234,XEL,Xcel Energy Inc.,40.63B,70.76,1.13%,13.44B
235,CCI,Crown Castle Inc.,40.61B,93.45,1.99%,6.59B
236,PEG,Public Service Enterprise Group Incorporated,40.23B,80.7,-2.69%,10.29B
237,AXON,"Axon Enterprise, Inc.",40.07B,525.44,-8.20%,2.08B
238,PRU,"Prudential Financial, Inc.",39.91B,112.75,0.74%,70.41B
239,DHI,"D.R. Horton, Inc.",39.84B,126.44,-1.63%,36.69B
240,OTIS,Otis Worldwide Corporation,38.89B,98.09,-0.65%,14.26B
241,LHX,"L3Harris Technologies, Inc.",38.59B,204.9,1.27%,21.33B
242,PWR,"Quanta Services, Inc.",38.42B,259.26,-3.55%,23.67B
243,DAL,"Delta Air Lines, Inc.",38.34B,59.75,-2.92%,61.64B
244,IT,"Gartner, Inc.",37.75B,491.39,-1.36%,6.27B
245,ODFL,"Old Dominion Freight Line, Inc.",37.15B,174.77,-0.52%,5.81B
246,F,Ford Motor Company,36.82B,9.29,-1.90%,184.99B
247,TTWO,"Take-Two Interactive Software, Inc.",36.75B,208.21,-0.43%,5.45B
248,ETR,Entergy Corporation,36.70B,85.27,-1.02%,11.88B
249,FIS,"Fidelity National Information Services, Inc.",36.68B,69.25,0.49%,10.13B
250,KHC,The Kraft Heinz Company,36.63B,30.65,0.10%,25.85B
251,SYY,Sysco Corporation,36.56B,74.72,0.66%,80.57B
252,A,"Agilent Technologies, Inc.",36.25B,127.08,-5.50%,6.53B
